rotation,detector,abs_sensitivity,com_x,com_y,com_z,sigma_1,sigma_2,sigma_3,anisotropy,effective_volume,entropy_3d
0,101,1.987772157008294e-05,2.6157300016677256,6.137718178223448,6.4367087335961575,4.894086590154192,4.564765350825022,2.881545349931739,1.6984242813559847,460.86318740177626,9.416312537950741
0,102,1.4060484318179078e-05,3.08950661963618,6.261917427009624,6.636658833893397,4.939396034910693,4.56330922843951,2.8921502982044256,1.7078628444640584,499.0881970186924,9.50761359968069
0,103,1.043628708430333e-05,3.57604655241794,6.588266780867658,6.88066841818123,4.946035076912413,4.613258664386584,2.7646472499613126,1.7890293515673061,532.5083386670424,9.57109617574802
0,104,8.410767804889474e-06,3.8981155398406133,6.789772651459502,7.054477337242043,4.941483797648287,4.57051216976186,2.514844148987893,1.9649264546413492,508.327200946718,9.550603606176427
0,105,7.2377883952867705e-06,3.974360246950248,7.1292543235655685,7.151270473632069,4.9359421530714265,4.53766879322611,2.2034746852052964,2.2400720944108814,463.7980116303394,9.475184445857654
0,106,6.5218141571676824e-06,3.8649137242749427,7.249249099546858,7.222531497298812,4.925482190933334,4.534601348582247,1.9247262532010978,2.5590559606795957,432.4023146212033,9.395122554336329
0,107,6.079335435060784e-06,3.6037774332626857,7.445777816204446,7.292916015520528,4.91682385513827,4.48648486623372,1.7101573316813201,2.875071061620676,412.778702553088,9.321164340810745
0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
